GEORGIA,TOTAL VOTES,DEMOCRAT HARRIS,REPUBLICAN TRUMP,INDEPENDENT,IND. STEIN,IND. OLIVER,WRITE-INS
Appling,8334,1560,6761,13,5,8,0
Atkinson,3057,700,2350,7,1,6,0
Bacon,4839,645,4186,8,2,6,0
Baker,1476,590,883,3,2,1,0
Baldwin,18825,9159,9574,92,33,59,0
Banks,10519,1136,9358,25,10,15,0
Barrow,43934,12949,30730,255,72,183,0
Bartow,57547,13942,43271,334,92,242,0
Ben Hill,6532,2199,4281,52,7,14,31
Berrien,18868,12009,6841,18,3,15,0
Bibb,69181,42172,26658,351,136,215,0
Bleckley,6049,1339,4685,25,7,13,5
Gwinnett,420681,242507,173041,5133,3210,1923,0
